date,airport,direction,time,destination,flight,airline,duration,raw_text,scraped_at
2026-04-29,BKK,departure,00:05,ARN Stockholm,TG960,TG,12h 20m,00:05 | Thai Airways | ARN Stockholm | TG960 | 12h 20m | DETAILS,2026-01-30T16:02:21.433173
2026-04-29,BKK,departure,00:05,BRU Brussels,TG934,TG,12h 10m,00:05 | Thai Airways | BRU Brussels | TG934 | 12h 10m | DETAILS,2026-01-30T16:02:21.497621
2026-04-29,BKK,departure,00:05,CDG Paris,TG930,TG,12h 5m,00:05 | Thai Airways | CDG Paris | TG930 | 12h 5m | DETAILS,2026-01-30T16:02:21.561768
2026-04-29,BKK,departure,00:05,NGO Nagoya,TG644,TG,5h 55m,00:05 | Thai Airways | NGO Nagoya | TG644 | 5h 55m | DETAILS,2026-01-30T16:02:21.622804
2026-04-29,BKK,departure,00:05,ICN Seoul,TW102,TW,5h 35m,00:05 | T´Way Air | ICN Seoul | TW102 | 5h 35m | DETAILS,2026-01-30T16:02:21.687539
2026-04-29,BKK,departure,00:05,OSL Oslo,TG954,TG,12h 20m,00:05 | Thai Airways | OSL Oslo | TG954 | 12h 20m | DETAILS,2026-01-30T16:02:21.748791
2026-04-29,BKK,departure,00:25,KIX Osaka,JL728,JL,5h 25m,00:25 | JAL | KIX Osaka | JL728 | 5h 25m | DETAILS,2026-01-30T16:02:21.814838
2026-04-29,BKK,departure,00:30,CKG Chongqing,OQ2362,OQ,3h 30m,00:30 | Chongqing Airlines | CKG Chongqing | OQ2362 | 3h 30m | DETAILS,2026-01-30T16:02:21.881743
2026-04-29,BKK,departure,00:30,LHR London,TG910,TG,12h 45m,00:30 | Thai Airways | LHR London | TG910 | 12h 45m | DETAILS,2026-01-30T16:02:21.947375
2026-04-29,BKK,departure,00:30,PVG Shanghai,TG662,TG,4h 15m,00:30 | Thai Airways | PVG Shanghai | TG662 | 4h 15m | DETAILS,2026-01-30T16:02:22.009337
2026-04-29,BKK,departure,00:30,FUK Fukuoka,VZ810,VZ,5h 25m,00:30 | Vietjet Thailand | FUK Fukuoka | VZ810 | 5h 25m | DETAILS,2026-01-30T16:02:22.071287
2026-04-29,BKK,departure,00:40,PEK Beijing,HU7996,HU,5h 0m,00:40 | Hainan Airlines | PEK Beijing | HU7996 | 5h 0m | DETAILS,2026-01-30T16:02:22.135961
2026-04-29,BKK,departure,00:40,FUK Fukuoka,TG648,TG,5h 20m,00:40 | Thai Airways | FUK Fukuoka | TG648 | 5h 20m | DETAILS,2026-01-30T16:02:22.196181
2026-04-29,BKK,departure,00:40,MXP Milan,TG940,TG,11h 55m,00:40 | Thai Airways | MXP Milan | TG940 | 11h 55m | DETAILS,2026-01-30T16:02:22.267708
2026-04-29,BKK,departure,00:50,CPH Copenhagen,TG950,TG,11h 50m,00:50 | Thai Airways | CPH Copenhagen | TG950 | 11h 50m | DETAILS,2026-01-30T16:02:22.333345
2026-04-29,BKK,departure,00:50,MUC Munich,TG924,TG,11h 15m,00:50 | Thai Airways | MUC Munich | TG924 | 11h 15m | DETAILS,2026-01-30T16:02:22.398986
2026-04-29,BKK,departure,01:00,NBO Nairobi,KQ887,KQ,9h 5m,01:00 | Kenya Airways | NBO Nairobi | KQ887 | 9h 5m | DETAILS,2026-01-30T16:02:22.461448
2026-04-29,BKK,departure,01:05,ZRH Zurich,TG970,TG,11h 45m,01:05 | Thai Airways | ZRH Zurich | TG970 | 11h 45m | DETAILS,2026-01-30T16:02:22.531131
2026-04-29,BKK,departure,01:10,ICN Seoul,7C2504,7C,5h 45m,01:10 | Jeju Air | ICN Seoul | 7C2504 | 5h 45m | DETAILS,2026-01-30T16:02:22.593436
2026-04-29,BKK,departure,01:15,PVG Shanghai,9C8756,9C,4h 25m,01:15 | Spring Airlines | PVG Shanghai | 9C8756 | 4h 25m | DETAILS,2026-01-30T16:02:22.664537
2026-04-29,BKK,departure,01:15,TFU Chengdu,3U3938,3U,3h 5m,01:15 | Sichuan Airlines | TFU Chengdu | 3U3938 | 3h 5m | DETAILS,2026-01-30T16:02:22.727993
2026-04-29,BKK,departure,01:15,DXB Dubai,EK385,EK,6h 30m,01:15 | Emirates | DXB Dubai | EK385 | 6h 30m | DETAILS,2026-01-30T16:02:22.796224
2026-04-29,BKK,departure,01:15,KIX Osaka,MM92,MM,6h 5m,01:15 | Peach Aviation | KIX Osaka | MM92 | 6h 5m | DETAILS,2026-01-30T16:02:22.858216
2026-04-29,BKK,departure,01:20,ICN Seoul,OZ742,OZ,5h 25m,01:20 | Asiana | ICN Seoul | OZ742 | 5h 25m | DETAILS,2026-01-30T16:02:22.918101
2026-04-29,BKK,departure,01:30,PEK Beijing,CA980,CA,4h 40m,01:30 | Air China | PEK Beijing | CA980 | 4h 40m | DETAILS,2026-01-30T16:02:22.985513
2026-04-29,BKK,departure,01:30,HKG Hong Kong,HB296,HB,3h 0m,01:30 | Greater Bay Airlines | HKG Hong Kong | HB296 | 3h 0m | DETAILS,2026-01-30T16:02:23.062952
2026-04-29,BKK,departure,01:30,PVG Shanghai,HO1352,HO,4h 15m,01:30 | Juneyao Airlines | PVG Shanghai | HO1352 | 4h 15m | DETAILS,2026-01-30T16:02:23.264952
2026-04-29,BKK,departure,01:35,TPE Taipei,BR206,BR,3h 45m,01:35 | EVA Air | TPE Taipei | BR206 | 3h 45m | DETAILS,2026-01-30T16:02:23.331156
2026-04-29,BKK,departure,01:45,DOH Doha,QR837,QR,6h 55m,01:45 | Qatar Airways | DOH Doha | QR837 | 6h 55m | DETAILS,2026-01-30T16:02:23.509316
2026-04-29,BKK,departure,01:50,XMN Xiamen,MF844,MF,3h 25m,01:50 | XiamenAir | XMN Xiamen | MF844 | 3h 25m | DETAILS,2026-01-30T16:02:23.612528
2026-04-29,BKK,departure,01:50,ADD Addis Ababa,ET629,ET,8h 40m,01:50 | Ethiopian | ADD Addis Ababa | ET629 | 8h 40m | DETAILS,2026-01-30T16:02:23.711262
2026-04-29,BKK,departure,01:50,HKG Hong Kong,HX760,HX,3h 0m,01:50 | Hong Kong Airlines | HKG Hong Kong | HX760 | 3h 0m | DETAILS,2026-01-30T16:02:23.811274
2026-04-29,BKK,departure,01:55,HKG Hong Kong,HX780,HX,3h 0m,01:55 | Hong Kong Airlines | HKG Hong Kong | HX780 | 3h 0m | DETAILS,2026-01-30T16:02:23.915359
2026-04-29,BKK,departure,01:55,TPE Taipei,VZ566,VZ,3h 50m,01:55 | Vietjet Thailand | TPE Taipei | VZ566 | 3h 50m | DETAILS,2026-01-30T16:02:24.014793
2026-04-29,BKK,departure,02:05,TAE Daegu,TW106,TW,5h 35m,02:05 | T´Way Air | TAE Daegu | TW106 | 5h 35m | DETAILS,2026-01-30T16:02:24.127871
2026-04-29,BKK,departure,02:05,DOH Doha,QR827,QR,6h 55m,02:05 | Qatar Airways | DOH Doha | QR827 | 6h 55m | DETAILS,2026-01-30T16:02:24.250156
2026-04-29,BKK,departure,02:10,NKG Nanjing,MU2804,MU,4h 0m,02:10 | China Eastern | NKG Nanjing | MU2804 | 4h 0m | DETAILS,2026-01-30T16:02:24.354370
2026-04-29,BKK,departure,02:10,PVG Shanghai,MU548,MU,4h 25m,02:10 | China Eastern | PVG Shanghai | MU548 | 4h 25m | DETAILS,2026-01-30T16:02:24.450103
2026-04-29,BKK,departure,02:15,DXB Dubai,EK377,EK,6h 45m,02:15 | Emirates | DXB Dubai | EK377 | 6h 45m | DETAILS,2026-01-30T16:02:24.555412
2026-04-29,BKK,departure,02:20,VIE Vienna,BR61,BR,11h 15m,02:20 | EVA Air | VIE Vienna | BR61 | 11h 15m | DETAILS,2026-01-30T16:02:24.653951
2026-04-29,BKK,departure,02:20,KWI Kuwait,KU414,KU,7h 20m,02:20 | Kuwait Airways | KWI Kuwait | KU414 | 7h 20m | DETAILS,2026-01-30T16:02:24.760759
2026-04-29,BKK,departure,02:25,RGN Yangon,8M391,8M,1h 20m,02:25 | MAI | RGN Yangon | 8M391 | 1h 20m | DETAILS,2026-01-30T16:02:24.866573
2026-04-29,BKK,departure,02:25,ICN Seoul,VZ850,VZ,5h 35m,02:25 | Vietjet Thailand | ICN Seoul | VZ850 | 5h 35m | DETAILS,2026-01-30T16:02:24.967511
2026-04-29,BKK,departure,02:40,TPE Taipei,CI838,CI,3h 45m,02:40 | China Airlines | TPE Taipei | CI838 | 3h 45m | DETAILS,2026-01-30T16:02:25.086353
2026-04-29,BKK,departure,02:40,HKG Hong Kong,HX768,HX,3h 20m,02:40 | Hong Kong Airlines | HKG Hong Kong | HX768 | 3h 20m | DETAILS,2026-01-30T16:02:25.201467
2026-04-29,BKK,departure,02:50,TAO Qingdao,SC4080,SC,4h 35m,02:50 | Shandong Airlines | TAO Qingdao | SC4080 | 4h 35m | DETAILS,2026-01-30T16:02:25.307424
2026-04-29,BKK,departure,03:00,CAN Guangzhou,MU2078,MU,3h 50m,03:00 | China Eastern | CAN Guangzhou | MU2078 | 3h 50m | DETAILS,2026-01-30T16:02:25.413582
2026-04-29,BKK,departure,03:00,CAN Guangzhou,CZ3036,CZ,2h 55m,03:00 | China Southern | CAN Guangzhou | CZ3036 | 2h 55m | DETAILS,2026-01-30T16:02:25.518874
2026-04-29,BKK,departure,03:15,SZX Shenzhen,ZH306,ZH,2h 55m,03:15 | Shenzhen Airlines | SZX Shenzhen | ZH306 | 2h 55m | DETAILS,2026-01-30T16:02:25.618542
2026-04-29,BKK,departure,03:15,AUH Abu Dhabi,EY401,EY,6h 30m,03:15 | Etihad | AUH Abu Dhabi | EY401 | 6h 30m | DETAILS,2026-01-30T16:02:25.730096
2026-04-29,BKK,departure,03:15,DXB Dubai,EK371,EK,6h 35m,03:15 | Emirates | DXB Dubai | EK371 | 6h 35m | DETAILS,2026-01-30T16:02:25.833455
2026-04-29,BKK,departure,03:25,MNL Manila,5J932,5J,3h 45m,03:25 | Cebu Pacific | MNL Manila | 5J932 | 3h 45m | DETAILS,2026-01-30T16:02:25.932248
2026-04-29,BKK,departure,03:35,MCT Muscat,OV466,OV,6h 30m,03:35 | Salam Air | MCT Muscat | OV466 | 6h 30m | DETAILS,2026-01-30T16:02:26.049374
2026-04-29,BKK,departure,03:50,DEL Delhi,SG88,SG,4h 25m,03:50 | SpiceJet | DEL Delhi | SG88 | 4h 25m | DETAILS,2026-01-30T16:02:26.155668
2026-04-29,BKK,departure,05:05,PVG Shanghai,FM848,FM,4h 30m,05:05 | Shanghai Airlines | PVG Shanghai | FM848 | 4h 30m | DETAILS,2026-01-30T16:02:26.257093
2026-04-29,BKK,departure,06:00,PBH Paro,KB153,KB,3h 15m,06:00 | Drukair | PBH Paro | KB153 | 3h 15m | DETAILS,2026-01-30T16:02:26.356862
2026-04-29,BKK,departure,06:05,USM Koh Samui,PG101,PG,1h 5m,06:05 | Bangkok Airways | USM Koh Samui | PG101 | 1h 5m | DETAILS,2026-01-30T16:02:26.454199
